start,stop,name,tier
30.0,30.04403774046159,i,focus
30.123550327405383,30.168199703151004,i,focus
30.25395441749515,30.294742806716613,i,focus
30.56813218783759,30.607014577562722,i,focus
30.68325455741683,30.72671134593338,i,focus
30.94558914145796,30.99438272856446,i,focus
31.039639225514975,31.12318351766976,a,focus
31.148827816774656,31.309989014554958,b,focus
31.342767563255393,31.44929784653391,c,focus
31.49027103241042,31.59133822423837,d,focus
31.64050604728982,31.786643743581863,e,focus
31.894539799722907,31.9764861714757,a,focus
32.00653317445108,32.169060145094136,b,focus
32.19910714806997,32.30836897707309,c,focus
32.34661061722454,32.45996976481547,d,focus
32.500942950691524,32.652543738433906,et,focus
92.65254373843436,92.69032829374737,i,focus
92.98900620716904,93.030389291559,i,focus
93.19532187427103,93.237304713507,i,focus
93.34166205675047,93.38784317991121,i,focus
93.44362038060899,93.49399978769179,i,focus
93.54127029834672,93.62190178108995,a,focus
93.65193572503358,93.81636070945115,b,focus
93.84481887983202,93.95232752349239,c,focus
93.99264326486264,94.10094241325442,d,focus
94.14679168775638,94.28908253965619,e,focus
94.39362922703731,94.47542508875722,a,focus
94.50319065649728,94.6705344836837,b,focus
94.7005513136719,94.807861480881,c,focus
94.85213630511498,94.95794563082472,d,focus
95.00672297955589,95.15530628800025,et,focus
